Front,Back,Extra,Tags
"A global financial services company requires centralized identity management for 50,000 employees across 20 subsidiaries. Each subsidiary demands autonomy over user lifecycle management while maintaining corporate security policies. The solution must support conditional access and PIM across all entities.<br><br>A) Single Azure AD tenant with administrative units<br>B) Azure AD B2B with multiple guest tenants<br>C) Separate Azure AD tenant per subsidiary with B2B collaboration","A) Single Azure AD tenant with administrative units","Administrative units enable delegated administration within a single tenant while maintaining centralized governance, conditional access, and PIM policies. Multiple tenants fragment identity management and complicate cross-subsidiary collaboration. B2B is for external partners, not internal subsidiaries requiring full lifecycle management.","AZ-305 IdentityGovernance IdentityManagement"
"An application processes sensitive healthcare data and must encrypt secrets at rest with customer-managed keys rotated every 90 days. Key operations must be auditable with hardware-backed protection. Access requires approval from two security officers.<br><br>A) Azure Key Vault Premium with managed HSM and access policies<br>B) Azure Key Vault Standard with Azure RBAC and rotation policies<br>C) Azure Dedicated HSM with custom key management","A) Azure Key Vault Premium with managed HSM and access policies","Premium tier provides HSM-backed keys (FIPS 140-2 Level 3). Access policies support multi-person authorization for key operations. Managed HSM offers full control over HSM resources. Standard tier lacks HSM backing. Azure Dedicated HSM is for legacy applications requiring exclusive HSM access, adding unnecessary complexity.","AZ-305 IdentityGovernance SecretManagement"
"A multinational corporation needs to enforce that all Azure Cosmos DB accounts use private endpoints and prohibit public network access across 200 subscriptions spanning 15 business units. Compliance must be audited monthly with automatic remediation.<br><br>A) Azure Policy with DeployIfNotExists effect and compliance reporting<br>B) Azure Blueprints with locked resource groups<br>C) Management group hierarchy with Azure RBAC deny assignments","A) Azure Policy with DeployIfNotExists effect and compliance reporting","Azure Policy at management group scope enforces configuration across subscriptions. DeployIfNotExists automatically remediates non-compliant resources. Built-in compliance dashboard tracks violations. Blueprints are for initial deployment, not ongoing enforcement. RBAC deny assignments prevent actions but don't remediate existing configurations.","AZ-305 IdentityGovernance Governance"
"A SaaS application serves 10,000 customer organizations, each requiring isolated identity domains with custom branding and MFA policies. Customers must federate their corporate identity providers (SAML/OIDC). Authentication must handle 100,000 logins per day with sub-second response times.<br><br>A) Azure AD B2C with custom policies and identity providers<br>B) Azure AD B2B with external identities<br>C) Multiple Azure AD tenants with Azure Front Door","A) Azure AD B2C with custom policies and identity providers","B2C is purpose-built for customer identity with multi-tenancy, custom branding per tenant, IDP federation (SAML/OIDC), and custom policies for complex authentication flows. Scales to millions of users. B2B is for business partnerships, not customer-facing multi-tenant SaaS. Multiple AD tenants don't provide isolation per customer organization.","AZ-305 IdentityGovernance Authentication"
"An enterprise must collect, analyze, and retain Azure Activity Logs, resource logs, and metrics from 500 resources across multiple regions for 7 years to meet regulatory requirements. Queries must support complex analytics with sub-second performance on recent data.<br><br>A) Azure Monitor Logs workspace with data export to Azure Storage Archive<br>B) Azure Event Hubs with Stream Analytics to Cosmos DB<br>C) Azure Storage Archive with direct query capability","A) Azure Monitor Logs workspace with data export to Azure Storage Archive","Log Analytics workspace provides real-time querying with KQL for recent data. Export to Archive Storage reduces costs for long-term retention (7 years). Event Hubs doesn't provide log aggregation or long-term storage. Storage Archive alone lacks query capabilities without rehydration.","AZ-305 IdentityGovernance Monitoring"
"A microservices application on AKS requires distributed tracing across 50 services, with automatic dependency mapping, performance anomaly detection, and correlation of user transactions across services. Telemetry must integrate with Prometheus metrics.<br><br>A) Application Insights with distributed tracing and OpenTelemetry<br>B) Azure Monitor Logs with custom KQL queries<br>C) Grafana with Prometheus exporters","A) Application Insights with distributed tracing and OpenTelemetry","Application Insights provides native distributed tracing, automatic dependency mapping, smart detection for anomalies, and transaction correlation. OpenTelemetry integration supports Prometheus metrics ingestion. Azure Monitor Logs lacks automatic application topology mapping. Grafana/Prometheus requires manual instrumentation and lacks transaction correlation.","AZ-305 IdentityGovernance Monitoring"
"A healthcare organization requires Azure resources to be organized for chargeback to 5 business divisions, 20 departments, and 100 cost centers. Resource deployments must enforce tagging, with automatic cost analysis dashboards per hierarchy level. Non-compliant resources must be blocked at creation.<br><br>A) Management groups with Azure Policy tag inheritance and Cost Management<br>B) Subscriptions per department with Azure RBAC<br>C) Resource groups per cost center with manual tagging","A) Management groups with Azure Policy tag inheritance and Cost Management","Management group hierarchy mirrors organizational structure. Azure Policy enforces required tags with Deny effect (blocks non-compliant deployments) and inherit tags from parent scopes. Cost Management automatically aggregates costs by tags. Subscriptions per department don't scale to 100 cost centers. Manual tagging lacks enforcement.","AZ-305 IdentityGovernance Governance"
"A financial application must ensure privileged access to production subscriptions requires just-in-time activation with multi-factor authentication, business justification, and automatic expiration after 4 hours. All activations must trigger alerts to SOC.<br><br>A) Azure AD Privileged Identity Management with approval workflow<br>B) Azure RBAC with time-bound role assignments<br>C) Azure AD Conditional Access with MFA","A) Azure AD Privileged Identity Management with approval workflow","PIM provides JIT activation, multi-factor authentication at activation, approval workflows, business justification requirements, time-bound access (configurable duration), and activation alerts. Azure RBAC doesn't support JIT or approval workflows natively. Conditional Access enforces MFA but lacks JIT and time-bound access.","AZ-305 IdentityGovernance IdentityGovernance"
"An IoT solution ingests telemetry from 1 million devices at 10,000 events/second. Monitoring must detect device anomalies in real-time, track device connectivity patterns, and generate alerts when event ingestion drops below 8,000 events/second for 5 minutes.<br><br>A) Azure Monitor metrics with alert rules and action groups<br>B) Application Insights with custom events and smart detection<br>C) Log Analytics workspace with scheduled KQL queries","A) Azure Monitor metrics with alert rules and action groups","Azure Monitor metrics natively collect IoT Hub/Event Hub metrics (events per second, device connections). Alert rules support threshold-based alerts with time aggregation (5-minute windows). Action groups route alerts to SOC. Application Insights is for application telemetry, not infrastructure metrics. Log queries add latency vs. real-time metrics.","AZ-305 IdentityGovernance Monitoring"
"A government agency must ensure all Azure SQL databases in 80 subscriptions enable Transparent Data Encryption with customer-managed keys, audit logging to immutable storage, and Advanced Threat Protection. Non-compliant databases must be automatically configured, and compliance must be visible in a central dashboard.<br><br>A) Azure Policy with DeployIfNotExists and compliance dashboard<br>B) Azure Security Center with security policies<br>C) Azure Blueprints with ARM templates","A) Azure Policy with DeployIfNotExists and compliance dashboard","Azure Policy DeployIfNotExists effect automatically remediates non-compliant resources by deploying required configurations. Built-in policies exist for SQL TDE, auditing, and ATP. Compliance dashboard aggregates status across subscriptions. Security Center recommends configurations but doesn't enforce or auto-remediate. Blueprints are for initial provisioning, not ongoing compliance.","AZ-305 IdentityGovernance Governance"
