Front,Back,Extra,Tags
"A Fabric workspace runs many small notebook jobs, and the team wants each session to start in seconds without waiting for cluster provisioning. Which Spark workspace setting should you rely on?<br><br>A) Disable the starter pool and force every job to spin up a fresh custom pool sized per workload<br>B) Use the starter pool, which keeps pre-warmed Spark clusters ready so sessions start almost immediately<br>C) Raise the custom pool node count to the maximum so cold starts finish faster during peak hours","B) Use the starter pool, which keeps pre-warmed Spark clusters ready so sessions start almost immediately<br><br>Starter pools are pre-hydrated, always-ready Spark clusters that give near-instant session startup for small or bursty jobs.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/data-engineering/configure-starter-pools"">Configure starter pools - Microsoft Fabric</a>","Custom pools have a cold-start delay because nodes are allocated on demand; they trade fast startup for isolation and specific sizing. Bigger custom pools do not remove the provisioning wait. Use starter pools for quick interactive work, custom pools for controlled, predictable large jobs.",DP-700 ImplementManage SparkWorkspaceSettings
You must group several related Fabric workspaces so a data steward can govern them together and delegate administration without being a tenant admin. What should you configure?<br><br>A) A single large workspace that contains every item so one owner controls all of the data assets centrally<br>B) A capacity assignment that binds the workspaces to one SKU and thereby enforces shared governance rules<br>C) A Fabric domain that logically groups workspaces and lets you assign domain admins and contributors,"C) A Fabric domain that logically groups workspaces and lets you assign domain admins and contributors<br><br>Domains group workspaces by business area and allow delegated governance through domain admins and contributors, plus domain-scoped settings.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/governance/domains"">Fabric domains - Microsoft Fabric</a>","Capacities control compute allocation, not governance delegation. Collapsing everything into one workspace breaks isolation and least privilege. Domains are the governance grouping layer above workspaces.",DP-700 ImplementManage DomainWorkspaceSettings
"A workspace admin wants all new items in the workspace to default to a specific data storage format and control who can create OneLake shortcuts. Which settings area applies?<br><br>A) Capacity settings, because OneLake behavior is defined at the SKU level for the whole tenant<br>B) OneLake workspace settings, where OneLake access and shortcut creation behavior for the workspace are managed<br>C) Deployment pipeline settings, since promoting items is what governs OneLake storage defaults","B) OneLake workspace settings, where OneLake access and shortcut creation behavior for the workspace are managed<br><br>OneLake workspace settings control OneLake access, including whether users can create shortcuts and how the workspace interacts with OneLake.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/onelake/onelake-security"">OneLake security overview - Microsoft Fabric</a>","Capacity settings govern compute, not per-workspace OneLake access. Deployment pipelines move content between stages and are unrelated to storage defaults. Match the setting to the correct scope: workspace-level OneLake controls live in workspace settings.",DP-700 ImplementManage OneLakeWorkspaceSettings
"Your team wants to author complex, code-based data orchestration DAGs in Fabric using Python and existing operators from the open-source ecosystem. Which workspace capability should you enable?<br><br>A) Data pipelines, which provide a low-code drag-and-drop canvas but no Python DAG authoring<br>B) Dataflow Gen2, which offers Power Query transformations rather than programmatic DAG orchestration<br>C) Apache Airflow job, which brings managed Airflow so you author DAGs in Python with community operators","C) Apache Airflow job, which brings managed Airflow so you author DAGs in Python with community operators<br><br>Apache Airflow jobs in Fabric run managed Airflow, letting you define orchestration as Python DAGs and reuse the Airflow operator ecosystem.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/data-factory/apache-airflow-jobs-concepts"">Apache Airflow jobs - Microsoft Fabric</a>","Data pipelines are the native low-code orchestrator; Dataflow Gen2 is for transformation, not orchestration. Choose Airflow when you need code-first DAGs, dynamic task generation, or portability from existing Airflow deployments.",DP-700 ImplementManage AirflowWorkspaceSettings
A data engineering team wants source control on notebooks and pipelines so changes are reviewed via pull requests before reaching the shared workspace. What should you implement first?<br><br>A) Deployment pipelines to promote items from development to production stages automatically each release<br>B) Git integration that connects the workspace to an Azure DevOps or GitHub repository branch<br>C) Manual export of item definitions to a file share that teammates copy before each release,"B) Git integration that connects the workspace to an Azure DevOps or GitHub repository branch<br><br>Fabric Git integration syncs supported items to a repo branch, enabling versioning, branching, and pull request review workflows.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/cicd/git-integration/intro-to-git-integration"">Introduction to Git integration - Microsoft Fabric</a>","Deployment pipelines handle stage-to-stage promotion but are not version control themselves; they complement Git. Manual file exports lack history, review, and conflict handling. Git integration is the foundation of Fabric source control.",DP-700 ImplementManage VersionControl
"You need to manage a Fabric warehouse schema as code, with build validation and the ability to publish incremental schema changes to multiple environments. Which approach fits?<br><br>A) A one-time T-SQL script run manually against production whenever a table definition needs to change<br>B) A Dataflow Gen2 that recreates all tables on every run to keep the schema perfectly in sync<br>C) A SQL database project (SQL project) that captures the schema declaratively and publishes diffs","C) A SQL database project (SQL project) that captures the schema declaratively and publishes diffs<br><br>SQL database projects define the desired schema declaratively; the publish operation computes and applies the delta, supporting CI/CD across environments.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/data-warehouse/sql-database-projects"">SQL database projects - Microsoft Fabric</a>","Manual ad hoc scripts drift and lack validation. Dataflows are for data movement/transformation, not schema management, and recreating tables destroys data. Database projects give repeatable, reviewable schema deployments.",DP-700 ImplementManage DatabaseProjects
"A deployment pipeline promotes a semantic model from Test to Production, but Production must point to a different Lakehouse connection than Test. How do you handle this cleanly?<br><br>A) Configure deployment rules on the Production stage to override the data source connection during deployment<br>B) Duplicate the semantic model manually in Production and repoint it after every single deployment<br>C) Store both connection strings in the model and let it randomly select one at query time per session","A) Configure deployment rules on the Production stage to override the data source connection during deployment<br><br>Deployment rules let each stage override parameters such as data source connections so promoted items bind to environment-appropriate sources.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/cicd/deployment-pipelines/create-rules"">Create deployment rules - Microsoft Fabric</a>",Manual duplication defeats the purpose of pipelines and invites drift. Storing multiple connections with random selection is not a real feature and is unsafe. Deployment rules are the supported way to parameterize per stage.,DP-700 ImplementManage DeploymentPipelines
"A user should be able to view and run reports in a workspace but must not edit or publish items or manage permissions. Which workspace role assignment is correct?<br><br>A) Contributor, which allows creating and editing items in addition to viewing existing content<br>B) Member, which can edit items and also add other users to the workspace with lower roles<br>C) Viewer, which grants read and consume access without edit, publish, or sharing management rights","C) Viewer, which grants read and consume access without edit, publish, or sharing management rights<br><br>The Viewer role provides read-only access to view and interact with content while blocking authoring and permission changes.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/fundamentals/roles-workspaces"">Roles in workspaces - Microsoft Fabric</a>",Contributor can create/edit items; Member adds people and edits; Admin has full control. Assigning the least-privileged role that still meets the requirement (Viewer) follows least privilege.,DP-700 ImplementManage WorkspaceAccessControls
"In a Fabric Lakehouse, analysts from different regions must each see only rows for their own region when querying the same SQL analytics endpoint table. Which control should you implement?<br><br>A) Column-level security to hide the region column so users cannot filter by regions that are not theirs<br>B) Row-level security with security predicates that filter rows based on the querying user's identity<br>C) Object-level security that removes the entire table from users outside of the matching region","B) Row-level security with security predicates that filter rows based on the querying user's identity<br><br>Row-level security uses predicate functions tied to the user context to restrict which rows are returned, enabling per-region filtering on a shared table.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/data-warehouse/row-level-security"">Row-level security - Microsoft Fabric</a>","Column-level security hides columns, not rows. Object-level security hides whole objects, which would block legitimate access. RLS is the row-scoped filtering mechanism.",DP-700 ImplementManage RowLevelSecurity
"A warehouse table contains a Salary column that only HR should see, while everyone else queries other columns freely. What is the most precise control?<br><br>A) Row-level security so non-HR users receive fewer rows from the employee table during queries<br>B) Column-level security that denies SELECT on the Salary column for non-HR principals only<br>C) Dynamic data masking that shows a fixed masked value of the salary to every single user always","B) Column-level security that denies SELECT on the Salary column for non-HR principals only<br><br>Column-level security grants or denies access to specific columns, letting HR read Salary while other users are blocked from just that column.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/data-warehouse/column-level-security"">Column-level security - Microsoft Fabric</a>","RLS filters rows, not columns. Dynamic data masking obscures values in results but does not enforce authorization and can be bypassed by privileged users; CLS actually denies access. Use CLS to block a sensitive column outright.",DP-700 ImplementManage ColumnLevelSecurity
"Support staff should see customer email addresses only as ab***@***.com in query results, but the underlying stored value must remain unchanged for authorized processes. Which feature fits best?<br><br>A) Column-level security, which fully blocks the email column so support staff cannot query it at all<br>B) Encryption at rest, which protects the stored bytes but returns the real email in query results<br>C) Dynamic data masking, which obfuscates values at query time for non-privileged users without altering storage","C) Dynamic data masking, which obfuscates values at query time for non-privileged users without altering storage<br><br>Dynamic data masking applies masking rules to results for non-privileged users while the real data stays intact for those with UNMASK.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/data-warehouse/dynamic-data-masking"">Dynamic data masking - Microsoft Fabric</a>","CLS would block the column entirely, but the requirement is partial visibility. Encryption at rest protects storage, not query-time visibility. DDM is the presentation-layer masking control.",DP-700 ImplementManage DynamicDataMasking
"Your governance team wants trusted, quality-checked datasets clearly marked so consumers know which items are officially blessed by the organization. What should data owners apply?<br><br>A) A sensitivity label such as Confidential to communicate that the dataset is trustworthy and current<br>B) A Promoted endorsement only, because Certified requires every consumer to individually approve it<br>C) An endorsement of Certified, which flags the item as officially reviewed and recommended for use","C) An endorsement of Certified, which flags the item as officially reviewed and recommended for use<br><br>Certified endorsement marks an item as meeting organizational quality standards; it is applied by authorized reviewers, unlike self-service Promoted.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/governance/endorsement-overview"">Endorsement overview - Microsoft Fabric</a>","Sensitivity labels convey data classification, not trust/quality. Promoted is a lighter, self-service signal any contributor can set; Certified is controlled by designated reviewers. Certified is the strongest trust signal.",DP-700 ImplementManage Endorsement
An organization needs Fabric content classified for confidentiality with protection that persists when data is exported to Excel or PDF. Which capability delivers this?<br><br>A) Endorsement badges that mark items as Certified so downstream exports inherit encryption automatically<br>B) Sensitivity labels from Microsoft Purview that classify items and enforce protection on exports<br>C) Workspace Viewer roles that prevent any download and therefore make classification unnecessary,"B) Sensitivity labels from Microsoft Purview that classify items and enforce protection on exports<br><br>Purview Information Protection sensitivity labels classify Fabric items and carry protection (encryption, usage rights) into supported exported files.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/governance/information-protection"">Information protection in Fabric - Microsoft Fabric</a>","Endorsement communicates trust, not confidentiality or export protection. Viewer roles limit in-product actions but do not classify or protect exported files. Sensitivity labels provide persistent classification and protection.",DP-700 ImplementManage SensitivityLabels
"A security officer must review who accessed, exported, or shared Fabric items across the tenant over the last 30 days for a compliance investigation. Where should they look?<br><br>A) The workspace lineage view, which shows item dependencies but not user access activity over time<br>B) The Fabric/Microsoft 365 audit logs, which record user and admin activities such as access and sharing<br>C) The capacity metrics app, which reports compute consumption rather than security-relevant access events","B) The Fabric/Microsoft 365 audit logs, which record user and admin activities such as access and sharing<br><br>Fabric activities flow into the unified audit log, letting you search access, export, and sharing events for compliance investigations.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/admin/track-user-activities"">Track user activities - Microsoft Fabric</a>","Lineage shows relationships, not who did what. The capacity metrics app is for performance/consumption. Audit logs are the authoritative source for security and compliance activity tracking.",DP-700 ImplementManage AuditLogs
"You must restrict access to specific folders and files inside a Lakehouse in OneLake so that only one team can read a sensitive subfolder, independent of workspace roles. What should you configure?<br><br>A) Workspace Admin role for the team so they inherit access to the specific sensitive subfolder only<br>B) A separate capacity for the subfolder so compute isolation implicitly restricts who can read it<br>C) OneLake data access roles (OneLake security) that grant folder- and file-level permissions in the item","C) OneLake data access roles (OneLake security) that grant folder- and file-level permissions in the item<br><br>OneLake security lets you define data access roles scoped to folders and files, providing granular authorization beyond workspace roles.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/onelake/security/get-started-security"">Get started with OneLake security - Microsoft Fabric</a>","Workspace Admin grants broad access, violating least privilege. Capacities isolate compute, not data authorization. OneLake data access roles provide the folder/file-level control required.",DP-700 ImplementManage OneLakeSecurity
"A pipeline must run three activities in parallel, and only after all three finish successfully should a fourth notebook activity start. Which orchestration construct achieves this?<br><br>A) Connect the three parallel activities to the notebook with On success precedence constraints converging on it<br>B) Chain all four activities sequentially with On success dependencies so ordering is strictly linear<br>C) Use a single ForEach loop over the four activities so the runtime decides the execution order","A) Connect the three parallel activities to the notebook with On success precedence constraints converging on it<br><br>Multiple upstream activities can point to one downstream activity; with On success constraints, the downstream runs only after all predecessors succeed.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/fabric/data-factory/activity-overview"">Pipeline activities - Microsoft Fabric</a>",Sequential chaining removes the required parallelism. ForEach iterates one collection and does not model fan-in dependencies. Converging success constraints implement fan-out then join.,DP-700 ImplementManage OrchestrationPatterns
