Front,Back,Extra,Tags
"A bank is piloting an AI mortgage assistant. Regulators require the bank to prove applicants in similar financial situations receive consistent outcomes across protected groups. Which responsible AI principle is being validated?<br><br>A) Fairness<br>B) Transparency<br>C) Accountability","A) Fairness. Fairness focuses on preventing disproportionate impact across similarly situated groups and reducing discriminatory outcomes.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-responsible-ai"">Responsible AI principles</a>","Transparency explains decisions, while accountability defines who owns remediation. Fairness is the principle directly tied to parity checks and bias mitigation in outcomes.","AI-900 AIWorkloads ResponsibleAI"
"An insurer must reject unsafe model outputs before they reach customers in a claim-support chatbot. The team needs pre-response safety enforcement on generated text. Which control is most appropriate?<br><br>A) Increase max tokens<br>B) Add content filtering and moderation<br>C) Raise temperature","B) Add content filtering and moderation. Safety filters are designed to detect and block harmful output categories before delivery.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/content-filter"">Azure OpenAI content filtering</a>","Max tokens changes length, and temperature changes randomness. Neither is a safety policy control. Filters enforce policy boundaries.","AI-900 AIWorkloads ResponsibleAI"
"A public-sector AI service must continue safe operation during transient model failures and uncertain predictions. Which responsible AI consideration is most directly addressed?<br><br>A) Inclusiveness<br>B) Reliability and safety<br>C) Transparency","B) Reliability and safety. This principle covers robust performance, graceful failure handling, and avoidance of unsafe behavior in edge cases.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-responsible-ai"">Responsible AI principles</a>","Inclusiveness is about accessible design across user abilities. Transparency is about explainability. Reliability/safety targets dependable behavior under stress.","AI-900 AIWorkloads ResponsibleAI"
"A healthcare startup must protect PHI used by an AI triage model and restrict operator access to least privilege. Which principle is primary?<br><br>A) Privacy and security<br>B) Accountability<br>C) Fairness","A) Privacy and security. It requires strong data protection, access controls, and secure handling of sensitive information.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-responsible-ai"">Responsible AI principles</a>","Accountability assigns ownership; fairness addresses bias. The requirement is confidentiality and secure access governance.","AI-900 AIWorkloads ResponsibleAI"
"A transit authority deploys a voice bot for riders with hearing and speech variability, including assistive workflows. Which principle is best reflected?<br><br>A) Inclusiveness<br>B) Transparency<br>C) Reliability and safety","A) Inclusiveness. It emphasizes designing AI systems usable by people with diverse needs and abilities.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-responsible-ai"">Responsible AI principles</a>","Reliability is operational stability; transparency is disclosure. Inclusive design ensures broader accessibility and equitable usability.","AI-900 AIWorkloads ResponsibleAI"
"A customer support bot must clearly disclose that users are interacting with AI and provide confidence/limitations. Which principle is this?<br><br>A) Transparency<br>B) Accountability<br>C) Privacy and security","A) Transparency. It requires clear communication about AI usage, behavior, and limitations.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-responsible-ai"">Responsible AI principles</a>","Accountability defines ownership after harm; privacy secures data. Disclosure and explainability are transparency objectives.","AI-900 AIWorkloads ResponsibleAI"
"A company creates governance playbooks defining who approves model releases and who handles incident response for AI harm. Which principle is central?<br><br>A) Accountability<br>B) Fairness<br>C) Inclusiveness","A) Accountability. It establishes human responsibility for AI decisions, oversight, and remediation actions.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-responsible-ai"">Responsible AI principles</a>","Fairness and inclusiveness guide outcomes and design, but accountability ensures there is an owner for decisions and corrective action.","AI-900 AIWorkloads ResponsibleAI"
"A retailer wants to auto-tag product images, detect shelf stockouts from photos, and transcribe scanned labels. Which statement correctly maps workloads?<br><br>A) Vision for image tasks, OCR for text in images, NLP for text understanding<br>B) NLP for image tagging, Speech for OCR, Vision for sentiment<br>C) Speech for object detection, NLP for facial detection, Vision for translation","A) Vision for image tasks, OCR for text in images, NLP for text understanding. This matches common AI workload boundaries.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/ai-services/what-are-ai-services"">Azure AI services overview</a>","Option B and C mix service categories incorrectly. Correct architectural mapping reduces design errors and cost.","AI-900 AIWorkloads WorkloadMapping"
"A legal firm needs to extract clauses and signatures from scanned contracts and also summarize obligations in plain language. Which pair best matches?<br><br>A) Document Intelligence + Azure AI Language/Azure OpenAI<br>B) Face API + Translator<br>C) Speech SDK + Anomaly Detector","A) Document Intelligence + Azure AI Language/Azure OpenAI. Document extraction and language summarization are separate but complementary workloads.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/overview"">Document Intelligence overview</a>","Face and Translator do not parse contract structure. Speech/Anomaly Detector are unrelated to contract extraction and summarization.","AI-900 AIWorkloads DocumentProcessing"
"A support center wants an AI system to classify ticket urgency and route to teams based on historical labels. Which workload is primarily involved?<br><br>A) Supervised machine learning classification<br>B) Unsupervised clustering<br>C) Object detection","A) Supervised machine learning classification. Labeled historical outcomes imply supervised category prediction.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-automated-ml#classification"">Classification in Azure ML</a>","Clustering lacks predefined labels. Object detection is computer vision for spatial localization, not ticket routing.","AI-900 AIWorkloads MLWorkloads"
