Front,Back,Extra,Tags
"A new team member asks how Git and GitHub differ. Which statement most accurately describes the relationship?<br><br>A) Git is a distributed version control system, while GitHub is a cloud platform that hosts Git repositories and adds collaboration features<br>B) Git and GitHub are two competing version control systems, and a project must choose exactly one of them to track history<br>C) GitHub is the command-line tool that records commits, while Git is the website used to review and merge those commits online","A) Git is a distributed version control system, while GitHub is a cloud platform that hosts Git repositories and adds collaboration features<br><br>Git is the underlying VCS created by Linus Torvalds; GitHub is a hosting and collaboration platform built around Git.<br><br>Reference: <a href=""https://docs.github.com/en/get-started/start-your-journey/about-github-and-git"">About GitHub and Git - GitHub Docs</a>","Remember: Git works fully offline on your machine; GitHub adds pull requests, issues, Actions, and access control on top of Git. You can use Git without GitHub, but not the reverse.","GH-900 IntroToGitAndGitHub GitVsGitHub"
"Why is Git described as a 'distributed' version control system rather than a centralized one?<br><br>A) All history lives only on a central server, so developers must stay connected to commit any change to the project<br>B) Every clone contains the full project history, so developers can commit and view history locally without a network connection<br>C) The repository is split into fragments across many servers, and no single machine ever holds the complete commit history","B) Every clone contains the full project history, so developers can commit and view history locally without a network connection<br><br>In Git, each clone is a complete repository with full history, enabling offline work and resilience.<br><br>Reference: <a href=""https://docs.github.com/en/get-started/using-git/about-git"">About Git - GitHub Docs</a>","Contrast with centralized systems like SVN where history lives on one server. Distributed history means no single point of failure and fast local operations.","GH-900 IntroToGitAndGitHub GitFundamentals"
"A developer wants a local working copy of a remote GitHub repository, including its full commit history. Which Git command should they use?<br><br>A) git init, which starts tracking the current empty folder as a brand-new local repository with no linked remote history<br>B) git pull, which updates an already-existing local repository with the newest commits from its configured upstream remote<br>C) git clone","C) git clone<br><br>git clone downloads a full copy of a remote repository, including all history, and configures the remote automatically.<br><br>Reference: <a href=""https://docs.github.com/en/repositories/creating-and-managing-repositories/cloning-a-repository"">Cloning a repository - GitHub Docs</a>","git init creates a new empty repo; git pull only works after a repo already exists locally. Use clone once to get started, then pull to stay updated.","GH-900 IntroToGitAndGitHub GitCommands"
"In Git, what is the purpose of the staging area (the index) when using git add?<br><br>A) It permanently writes the selected changes into project history and immediately publishes them to the remote repository<br>B) It lets you select exactly which changes will be included in the next commit before you actually record that commit<br>C) It creates a separate branch automatically so unfinished changes never affect the current branch you are on","B) It lets you select exactly which changes will be included in the next commit before you actually record that commit<br><br>The staging area holds the snapshot of changes that git commit will record, giving fine-grained control over commit contents.<br><br>Reference: <a href=""https://docs.github.com/en/get-started/using-git/about-git"">About Git - GitHub Docs</a>","Workflow: edit files, git add to stage, git commit to record. Staging lets you split unrelated changes into separate, meaningful commits.","GH-900 IntroToGitAndGitHub GitFundamentals"
"What does a Git commit represent within a repository?<br><br>A) A saved snapshot of staged changes at a point in time, along with author, message, and a link to previous commits<br>B) A temporary draft of edits stored only in memory that disappears the moment the editor or terminal window is closed<br>C) A request asking a project maintainer to review and combine one branch into another branch on GitHub","A) A saved snapshot of staged changes at a point in time, along with author, message, and a link to previous commits<br><br>Each commit records a snapshot plus metadata and references its parent, forming the project history.<br><br>Reference: <a href=""https://docs.github.com/en/get-started/using-git/about-git"">About Git - GitHub Docs</a>","A commit is immutable and identified by a SHA hash. The 'request to combine branches' description is a pull request, not a commit.","GH-900 IntroToGitAndGitHub GitFundamentals"
"A developer wants to work on a new feature without affecting the stable code. What is the recommended Git approach?<br><br>A) Copy the entire project into a second folder and manually merge the edited files back one at a time when finished<br>B) Edit files directly on the main branch but avoid committing until the feature is completely finished and tested<br>C) Create a new branch, make commits there, and later merge it back into the main branch","C) Create a new branch, make commits there, and later merge it back into the main branch<br><br>Branches isolate work so the main line stays stable; changes merge back when ready, typically via a pull request.<br><br>Reference: <a href=""https://docs.github.com/en/get-started/using-github/github-flow"">GitHub flow - GitHub Docs</a>","Branching is lightweight in Git. This is the foundation of GitHub flow: branch, commit, open a PR, review, merge.","GH-900 IntroToGitAndGitHub Branching"
"After committing changes locally, which command uploads those commits to the corresponding branch on GitHub?<br><br>A) git commit, which finalizes the staged changes into local history but does not send anything to the remote repository<br>B) git push<br>C) git fetch, which downloads new commits and refs from the remote but does not upload any of your local commits","B) git push<br><br>git push transfers local commits on a branch to the matching branch on the remote (GitHub).<br><br>Reference: <a href=""https://docs.github.com/en/get-started/using-git/pushing-commits-to-a-remote-repository"">Pushing commits to a remote repository - GitHub Docs</a>","commit records locally; push publishes. fetch is the opposite direction (download only). Push regularly so collaborators can see your work.","GH-900 IntroToGitAndGitHub GitCommands"
"What is the key difference between git fetch and git pull?<br><br>A) git fetch downloads remote changes without merging them, while git pull downloads and then merges them into your current branch<br>B) git fetch permanently overwrites your local commits with the remote version, while git pull safely keeps a backup of your local work first<br>C) git fetch works only on private repositories, while git pull is required for any repository that has been made public on GitHub","A) git fetch downloads remote changes without merging them, while git pull downloads and then merges them into your current branch<br><br>git pull is effectively git fetch followed by a merge (or rebase) into the current branch.<br><br>Reference: <a href=""https://docs.github.com/en/get-started/using-git/getting-changes-from-a-remote-repository"">Getting changes from a remote repository - GitHub Docs</a>","Use fetch to inspect incoming changes before integrating; use pull when you want to update your branch immediately. Neither depends on repo visibility.","GH-900 IntroToGitAndGitHub GitCommands"
"Which sequence best describes the GitHub flow for proposing a change?<br><br>A) Push directly to main, then notify teammates by email so they can review the change after it is already live in production<br>B) Create a branch, commit changes, open a pull request, review and discuss, then merge into the default branch<br>C) Fork the repository, delete the default branch, and rebuild the project history from scratch before submitting changes","B) Create a branch, commit changes, open a pull request, review and discuss, then merge into the default branch<br><br>GitHub flow is a lightweight, branch-based workflow centered on pull requests for review before merging.<br><br>Reference: <a href=""https://docs.github.com/en/get-started/using-github/github-flow"">GitHub flow - GitHub Docs</a>","GitHub flow keeps main deployable at all times. The pull request is the collaboration hub for review, discussion, and automated checks.","GH-900 IntroToGitAndGitHub GitHubFlow"
"In a cloned repository, what does the remote named 'origin' typically refer to?<br><br>A) The local .git folder on your computer where all staged changes are temporarily written before they become commits<br>B) The default alias pointing to the remote repository the project was cloned from, such as its GitHub URL<br>C) A protected branch that only repository administrators are allowed to push commits to after passing status checks","B) The default alias pointing to the remote repository the project was cloned from, such as its GitHub URL<br><br>By convention, git clone names the source remote 'origin', which you push to and fetch from.<br><br>Reference: <a href=""https://docs.github.com/en/get-started/getting-started-with-git/managing-remote-repositories"">Managing remote repositories - GitHub Docs</a>","origin is just a convenient name; you can add other remotes (e.g., 'upstream' when working from a fork). It is not a branch.","GH-900 IntroToGitAndGitHub Remotes"
